"","MSZoning","Street","LandContour","LotConfig","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","Foundation","Heating","GarageType","SaleType","SaleCondition","Alley","Fence","MiscFeature","Quarter","LotShape","Utilities","LandSlope","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageFinish","GarageQual","GarageCond","PavedDrive","PoolQC","OverallQual","OverallCond","MSSubClass","LotFrontage","LotArea","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","YrSold","GarageAge","Age","RemodAge"
"11","RL","Pave","Lvl","Inside","Sawyer","Norm","Norm","1Fam","1Story","Hip","CompShg","HdBoard","HdBoard","None","CBlock","GasA","Detchd","WD","Normal","N/A","N/A","N/A","I","Reg","AllPub","Gtl","TA","TA","TA","TA","No","Rec","Unf","Ex","Y","SBrkr","TA","Typ",NA,"Unf","TA","TA","Y",NA,"5","5",20,70,11200,0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,2008,43,43,43
"12","RL","Pave","Lvl","Inside","NridgHt","Norm","Norm","1Fam","2Story","Hip","CompShg","WdShing","Wd Shng","Stone","PConc","GasA","BuiltIn","New","Partial","N/A","N/A","N/A","III","IR1","AllPub","Gtl","Ex","TA","Ex","TA","No","GLQ","Unf","Ex","Y","SBrkr","Ex","Typ","Gd","Fin","TA","TA","Y",NA,"9","5",60,85,11924,286,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,3,736,147,21,0,0,0,0,0,2006,1,1,0
"13","RL","Pave","Lvl","Inside","Sawyer","Norm","Norm","1Fam","1Story","Hip","CompShg","HdBoard","Plywood","None","CBlock","GasA","Detchd","WD","Normal","N/A","N/A","N/A","III","IR2","AllPub","Gtl","TA","TA","TA","TA","No","ALQ","Unf","TA","Y","SBrkr","TA","Typ",NA,"Unf","TA","TA","Y",NA,"5","6",20,70.0499583680267,12968,0,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,2008,46,46,46
"14","RL","Pave","Lvl","Inside","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","PConc","GasA","Attchd","New","Partial","N/A","N/A","N/A","III","IR1","AllPub","Gtl","Gd","TA","Gd","TA","Av","Unf","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","RFn","TA","TA","Y",NA,"7","5",20,91,10652,306,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,3,840,160,33,0,0,0,0,0,2007,1,1,0
"15","RL","Pave","Lvl","Corner","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","MetalSd","MetalSd","BrkFace","CBlock","GasA","Attchd","WD","Normal","N/A","GdWo","N/A","II","IR1","AllPub","Gtl","TA","TA","TA","TA","No","BLQ","Unf","TA","Y","SBrkr","TA","Typ","Fa","RFn","TA","TA","Y",NA,"6","5",20,70.0499583680267,10920,212,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,2008,48,48,48
"16","RM","Pave","Lvl","Corner","BrkSide","Norm","Norm","1Fam","1.5Unf","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil","GasA","Detchd","WD","Normal","N/A","GdPrv","N/A","III","Reg","AllPub","Gtl","TA","TA","TA","TA","No","Unf","Unf","Ex","Y","FuseA","TA","Typ",NA,"Unf","TA","TA","Y",NA,"7","8",45,51,6120,0,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,2,576,48,112,0,0,0,0,0,2007,16,78,6
"17","RL","Pave","Lvl","CulDSac","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock","GasA","Attchd","WD","Normal","N/A","N/A","Shed","I","IR1","AllPub","Gtl","TA","TA","TA","TA","No","ALQ","Unf","Ex","Y","SBrkr","TA","Typ","TA","Fin","TA","TA","Y",NA,"6","7",20,70.0499583680267,11241,180,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,2010,40,40,40
"18","RL","Pave","Lvl","Inside","Sawyer","Norm","Norm","Duplex","1Story","Gable","CompShg","MetalSd","MetalSd","None","Slab","GasA","CarPort","WD","Normal","N/A","N/A","Shed","IV","Reg","AllPub","Gtl","TA","TA",NA,NA,NA,NA,NA,"TA","Y","SBrkr","TA","Typ",NA,"Unf","TA","TA","Y",NA,"4","5",90,72,10791,0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,2006,39,39,39
"19","RL","Pave","Lvl","Inside","SawyerW","RRAe","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","PConc","GasA","Detchd","WD","Normal","N/A","N/A","N/A","II","Reg","AllPub","Gtl","TA","TA","TA","TA","No","GLQ","Unf","Ex","Y","SBrkr","Gd","Typ",NA,"Unf","TA","TA","Y",NA,"5","5",20,66,13695,0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,0,0,2008,4,4,4
"20","RL","Pave","Lvl","Inside","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","BrkFace","Plywood","None","CBlock","GasA","Attchd","COD","Abnorml","N/A","MnPrv","N/A","II","Reg","AllPub","Gtl","TA","TA","TA","TA","No","LwQ","Unf","TA","Y","SBrkr","TA","Min1",NA,"Unf","TA","TA","Y",NA,"5","6",20,70,7560,0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,0,0,0,0,0,0,0,2009,51,51,44
"21","RL","Pave","Lvl","Corner","NridgHt","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc","GasA","BuiltIn","New","Partial","N/A","N/A","N/A","IV","IR1","AllPub","Gtl","Gd","TA","Ex","TA","Av","Unf","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","RFn","TA","TA","Y",NA,"8","5",60,101,14215,380,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,2006,1,1,0
"22","RM","Pave","Bnk","Inside","IDOTRR","Norm","Norm","1Fam","1.5Unf","Gable","CompShg","Wd Sdng","Wd Sdng","None","PConc","GasA","Attchd","WD","Normal","Grvl","GdPrv","N/A","II","Reg","AllPub","Gtl","TA","TA","TA","TA","No","Unf","Unf","Ex","Y","FuseF","Gd","Typ","Gd","Unf","TA","TA","N",NA,"7","7",45,57,7449,0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,0,0,205,0,0,0,0,2007,77,77,57
"23","RL","Pave","Lvl","Inside","CollgCr","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","III","Reg","AllPub","Gtl","Gd","TA","Gd","TA","No","Unf","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","RFn","TA","TA","Y",NA,"8","5",20,75,9742,281,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,171,159,0,0,0,0,0,2008,6,6,6
"24","RM","Pave","Lvl","Inside","MeadowV","Norm","Norm","TwnhsE","1Story","Gable","CompShg","CemntBd","CmentBd","None","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","II","Reg","AllPub","Gtl","TA","TA","Gd","TA","No","GLQ","Unf","TA","Y","SBrkr","TA","Typ","TA","Unf","TA","TA","Y",NA,"5","7",120,44,4224,0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,2007,31,31,31
"25","RL","Pave","Lvl","Inside","Sawyer","Norm","Norm","1Fam","1Story","Gable","CompShg","Plywood","Plywood","None","CBlock","GasA","Attchd","WD","Normal","N/A","MnPrv","N/A","II","IR1","AllPub","Gtl","TA","Gd","TA","TA","Mn","Rec","ALQ","Ex","Y","SBrkr","Gd","Typ","TA","Unf","TA","TA","Y",NA,"5","8",20,70.0499583680267,8246,0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,2010,42,42,9
"26","RL","Pave","Lvl","Corner","NridgHt","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","III","Reg","AllPub","Gtl","Gd","TA","Gd","TA","No","Unf","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","RFn","TA","TA","Y",NA,"8","5",20,110,14230,640,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,2009,2,2,2
"27","RL","Pave","Lvl","Corner","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","CBlock","GasA","Detchd","WD","Normal","N/A","N/A","N/A","II","Reg","AllPub","Gtl","TA","TA","TA","TA","Mn","BLQ","Rec","TA","Y","SBrkr","Gd","Typ",NA,"Unf","TA","TA","Y",NA,"5","7",20,60,7200,0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,0,0,2010,5,59,10
"28","RL","Pave","Lvl","Inside","NridgHt","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","II","Reg","AllPub","Gtl","Gd","TA","Ex","TA","No","GLQ","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","RFn","TA","TA","Y",NA,"8","5",20,98,11478,200,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,0,50,0,0,0,0,0,2010,2,3,2
"29","RL","Pave","Lvl","CulDSac","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","CBlock","GasA","Attchd","WD","Normal","N/A","N/A","N/A","IV","IR1","AllPub","Gtl","TA","TA","TA","TA","Gd","BLQ","Unf","TA","Y","SBrkr","TA","Typ","Gd","RFn","TA","TA","Y",NA,"5","6",20,47,16321,0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,288,258,0,0,0,0,0,2006,49,49,9
"30","RM","Pave","Lvl","Inside","BrkSide","Feedr","RRNn","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","BrkTil","GasA","Detchd","WD","Normal","N/A","N/A","N/A","II","IR1","AllPub","Gtl","TA","TA","TA","TA","No","Unf","Unf","Fa","N","SBrkr","Fa","Typ",NA,"Unf","Fa","TA","Y",NA,"4","6",30,60,6324,0,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,49,0,87,0,0,0,0,2008,88,81,58
"31","C (all)","Pave","Lvl","Inside","IDOTRR","Feedr","Norm","1Fam","2Story","Gambrel","CompShg","BrkFace","BrkFace","None","BrkTil","GasA","Detchd","WD","Normal","Pave","MnPrv","N/A","III","Reg","AllPub","Gtl","TA","Fa","TA","TA","No","Unf","Unf","TA","N","SBrkr","TA","Typ",NA,"Unf","TA","Fa","N",NA,"4","4",70,50,8500,0,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,2008,88,88,58
"32","RL","Pave","Lvl","CulDSac","Sawyer","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","None","CBlock","GasA","Attchd","WD","Normal","N/A","MnPrv","N/A","II","IR1","AllPub","Gtl","TA","TA","TA","TA","No","Unf","Unf","Gd","Y","SBrkr","Gd","Typ",NA,"Unf","TA","TA","Y",NA,"5","6",20,70.0499583680267,8544,0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,0,65,0,0,0,0,0,2008,42,42,2
"33","RL","Pave","Lvl","Corner","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","I","Reg","AllPub","Gtl","Gd","TA","Ex","TA","Av","Unf","Unf","Ex","Y","SBrkr","Gd","Typ",NA,"RFn","TA","TA","Y",NA,"8","5",20,85,11049,0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,0,30,0,0,0,0,0,2008,1,1,1
"34","RL","Pave","Lvl","Inside","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","BrkFace","BrkFace","None","CBlock","GasA","Attchd","WD","Normal","N/A","N/A","N/A","II","IR1","AllPub","Gtl","TA","TA","TA","TA","No","Rec","Unf","Gd","Y","SBrkr","Gd","Typ","Gd","RFn","TA","TA","Y",NA,"5","5",20,70,10552,0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,2010,51,51,51
"35","RL","Pave","Lvl","Inside","NridgHt","Norm","Norm","TwnhsE","1Story","Hip","CompShg","MetalSd","MetalSd","BrkFace","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","III","Reg","AllPub","Gtl","Ex","TA","Ex","TA","No","GLQ","Unf","Ex","Y","SBrkr","Ex","Typ","Gd","Fin","TA","TA","Y",NA,"9","5",120,60,7313,246,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,203,47,0,0,0,0,0,2007,2,2,2
"36","RL","Pave","Lvl","Inside","NridgHt","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","Stone","PConc","GasA","BuiltIn","WD","Normal","N/A","N/A","N/A","III","Reg","AllPub","Gtl","Gd","TA","Ex","TA","Av","Unf","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","Fin","TA","TA","Y",NA,"8","5",60,108,13418,132,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,2006,2,2,1
"37","RL","Pave","Lvl","Corner","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","II","Reg","AllPub","Gtl","TA","TA","Gd","TA","No","Unf","Unf","Ex","Y","SBrkr","TA","Typ",NA,"Unf","TA","TA","Y",NA,"5","5",20,112,10859,0,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,2009,14,15,14
"38","RL","Pave","Lvl","Inside","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock","GasA","Attchd","WD","Normal","N/A","N/A","N/A","IV","Reg","AllPub","Gtl","TA","TA","TA","TA","No","Rec","Unf","Gd","Y","SBrkr","TA","Typ","TA","Fin","TA","TA","Y",NA,"5","6",20,74,8532,650,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,2009,55,55,19
"39","RL","Pave","Lvl","Inside","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","CBlock","GasA","Detchd","WD","Abnorml","N/A","N/A","N/A","I","Reg","AllPub","Gtl","TA","Gd","TA","TA","No","GLQ","Unf","TA","Y","SBrkr","Gd","Typ",NA,"Unf","TA","TA","Y",NA,"5","7",20,68,7922,0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,2010,57,57,3
"40","RL","Pave","Lvl","Inside","Edwards","Norm","Norm","Duplex","1Story","Gable","CompShg","AsbShng","Plywood","None","PConc","GasA","N/A","WD","AdjLand","N/A","N/A","N/A","II","Reg","AllPub","Gtl","TA","TA",NA,NA,NA,NA,NA,"TA","N","FuseP","Fa","Typ",NA,NA,NA,NA,"N",NA,"4","5",90,65,6040,0,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,2008,29.4938361131256,53,53
"41","RL","Pave","Lvl","Inside","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock","GasA","Attchd","WD","Abnorml","N/A","GdWo","N/A","IV","Reg","AllPub","Gtl","TA","TA","TA","TA","No","Rec","Unf","Ex","Y","SBrkr","TA","Typ","TA","RFn","TA","TA","Y",NA,"6","5",20,84,8658,101,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,2006,41,41,41
"42","RL","Pave","Lvl","Inside","Timber","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","CBlock","GasA","Attchd","WD","Normal","N/A","N/A","N/A","III","Reg","AllPub","Gtl","TA","Gd","TA","TA","Gd","BLQ","Unf","Gd","Y","SBrkr","TA","Typ","Gd","RFn","TA","TA","P",NA,"5","6",20,115,16905,0,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,2007,48,48,48
"43","RL","Pave","Lvl","CulDSac","SawyerW","Norm","Norm","1Fam","SFoyer","Gable","CompShg","HdBoard","HdBoard","None","CBlock","GasA","Attchd","WD","Normal","N/A","MnPrv","N/A","IV","IR1","AllPub","Gtl","TA","TA","Gd","TA","Av","ALQ","LwQ","Gd","Y","SBrkr","Gd","Typ",NA,"RFn","TA","Gd","Y",NA,"5","7",85,70.0499583680267,9180,0,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,2007,24,24,24
"44","RL","Pave","Lvl","CulDSac","CollgCr","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","None","CBlock","GasA","Detchd","WD","Normal","N/A","MnPrv","N/A","III","IR1","AllPub","Gtl","TA","TA","Gd","TA","Av","LwQ","BLQ","TA","Y","SBrkr","TA","Typ",NA,"Unf","TA","TA","Y",NA,"5","6",20,70.0499583680267,9200,0,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,2008,31,33,28
"45","RL","Pave","Lvl","Inside","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","BrkFace","Wd Sdng","None","CBlock","GasA","Attchd","WD","Normal","N/A","N/A","N/A","II","Reg","AllPub","Gtl","TA","TA","TA","TA","No","ALQ","BLQ","Ex","Y","FuseA","TA","Typ",NA,"RFn","TA","TA","Y",NA,"5","6",20,70,7945,0,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,2006,47,47,47
"46","RL","Pave","Lvl","Inside","NridgHt","Norm","Norm","TwnhsE","1Story","Hip","CompShg","MetalSd","MetalSd","BrkFace","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","I","Reg","AllPub","Gtl","Ex","TA","Ex","TA","No","GLQ","Unf","Ex","Y","SBrkr","Ex","Typ","Gd","RFn","TA","TA","Y",NA,"9","5",120,61,7658,412,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,2010,5,5,5
"47","RL","Pave","Lvl","CulDSac","Mitchel","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","VinylSd","None","PConc","GasA","Attchd","WD","Abnorml","N/A","N/A","N/A","III","IR1","AllPub","Gtl","Gd","TA","Ex","TA","No","GLQ","Unf","Ex","Y","SBrkr","Gd","Typ","Ex","RFn","TA","TA","Y",NA,"7","5",50,48,12822,0,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,2009,6,6,6
"48","FV","Pave","Lvl","Inside","Somerst","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","III","Reg","AllPub","Gtl","Gd","TA","Gd","TA","Av","GLQ","Unf","Ex","Y","SBrkr","Gd","Typ",NA,"RFn","TA","TA","Y",NA,"8","5",20,84,11096,0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,2007,1,1,1
"49","RM","Pave","Lvl","Inside","OldTown","Norm","Norm","2fmCon","2Story","Gable","CompShg","MetalSd","MetalSd","None","BrkTil","GasA","N/A","New","Partial","N/A","N/A","N/A","II","Reg","AllPub","Gtl","TA","TA","TA","TA","No","Unf","Unf","Gd","Y","SBrkr","TA","Typ",NA,NA,NA,NA,"N",NA,"4","5",190,33,4456,0,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,2009,30.4938361131256,89,1
"50","RL","Pave","Lvl","Inside","Sawyer","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","None","CBlock","GasA","Attchd","WD","Normal","N/A","MnPrv","N/A","I","Reg","AllPub","Gtl","TA","TA","TA","TA","No","BLQ","Unf","Ex","Y","SBrkr","TA","Typ",NA,"Unf","TA","TA","Y",NA,"5","7",20,66,7742,0,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1,386,0,0,0,0,0,0,0,2007,41,41,41
