LotShape,Utilities,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,OverallQual,OverallCond
IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,TA,Typ,Fa,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,7,8
IR1,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,Y,SBrkr,TA,Min1,NA,Unf,TA,TA,Y,NA,5,6
IR1,AllPub,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,FuseF,Gd,Typ,Gd,Unf,TA,TA,N,NA,7,7
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,5,7
IR1,AllPub,Gtl,TA,Gd,TA,TA,Mn,Rec,ALQ,Ex,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,5,8
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,TA,TA,Mn,BLQ,Rec,TA,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,TA,TA,Gd,BLQ,Unf,TA,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,Y,NA,5,6
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,N,SBrkr,Fa,Typ,NA,Unf,Fa,TA,Y,NA,4,6
Reg,AllPub,Gtl,TA,Fa,TA,TA,No,Unf,Unf,TA,N,SBrkr,TA,Typ,NA,Unf,TA,Fa,N,NA,4,4
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,9,5
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,GLQ,Unf,TA,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,N,FuseP,Fa,Typ,NA,NA,NA,NA,N,NA,4,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,Y,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,Gd,TA,TA,Gd,BLQ,Unf,Gd,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,P,NA,5,6
IR1,AllPub,Gtl,TA,TA,Gd,TA,Av,ALQ,LwQ,Gd,Y,SBrkr,Gd,Typ,NA,RFn,TA,Gd,Y,NA,5,7
IR1,AllPub,Gtl,TA,TA,Gd,TA,Av,LwQ,BLQ,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,BLQ,Ex,Y,FuseA,TA,Typ,NA,RFn,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,RFn,TA,TA,Y,NA,9,5
IR1,AllPub,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Ex,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,NA,NA,NA,N,NA,4,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
IR2,AllPub,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Gd,Y,SBrkr,TA,Typ,NA,Fin,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,Y,NA,6,6
IR2,AllPub,Mod,Fa,TA,Gd,TA,Gd,LwQ,GLQ,TA,N,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,9,5
Reg,AllPub,Mod,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Min1,TA,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Gd,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
IR2,AllPub,Gtl,Ex,TA,Ex,TA,Gd,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,10,5
Reg,AllPub,Gtl,TA,TA,TA,TA,Av,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,Fa,No,Unf,Unf,TA,N,SBrkr,Fa,Typ,NA,Unf,TA,TA,N,NA,5,7
IR1,AllPub,Gtl,Gd,TA,Gd,Gd,Mn,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,7,6
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,TA,Y,SBrkr,TA,Min1,Gd,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,6
Reg,AllPub,Gtl,Gd,TA,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,7,4
IR1,AllPub,Gtl,TA,Gd,Gd,TA,Gd,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,Gd,Fin,TA,TA,Y,NA,7,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,6
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,BLQ,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,Gd,Gd,Fa,TA,No,Unf,Unf,Gd,N,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,3,6
Reg,AllPub,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,4,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,GLQ,TA,Y,SBrkr,TA,Min1,NA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,N,SBrkr,TA,Typ,NA,NA,NA,NA,Y,NA,4,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,Gd,Gd,TA,No,Rec,Unf,TA,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,Gd,Ex,Gd,No,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,8,5
IR2,AllPub,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,Fa,Fa,TA,Fa,No,Unf,Unf,TA,N,SBrkr,Fa,Typ,NA,NA,NA,NA,N,NA,3,2
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,NA,NA,NA,Y,NA,4,5
Reg,AllPub,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,4,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,3
IR1,AllPub,Gtl,TA,Gd,Gd,TA,No,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,TA,Fa,Mn,Rec,Unf,Ex,N,SBrkr,TA,Typ,Gd,Unf,TA,TA,Y,NA,6,6
IR1,AllPub,Gtl,TA,Gd,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
IR2,AllPub,Gtl,Ex,Gd,Gd,Gd,No,ALQ,Unf,Gd,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,6,8
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,ALQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,Y,FuseF,TA,Typ,NA,Fin,TA,TA,P,NA,4,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,N,SBrkr,TA,Typ,NA,Unf,Fa,TA,Y,NA,5,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,Y,SBrkr,TA,Typ,NA,NA,NA,NA,Y,NA,4,5
IR1,AllPub,Gtl,TA,TA,TA,TA,Mn,ALQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,TA,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,Fa,NA,NA,NA,NA,NA,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,Fa,TA,TA,No,LwQ,Unf,Ex,Y,FuseF,TA,Typ,TA,Unf,TA,TA,Y,NA,7,4
Reg,AllPub,Gtl,Gd,TA,Ex,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,Fa,Fa,N,NA,4,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,BLQ,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,N,FuseF,Fa,Typ,NA,NA,NA,NA,N,NA,5,7
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,Ex,Y,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,TA,Fa,No,Rec,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,4
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,Gd,Gd,TA,Mn,ALQ,Rec,TA,Y,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,NA,6,5
IR1,AllPub,Mod,TA,TA,TA,TA,No,ALQ,LwQ,Ex,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,6,8
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Gd,Y,SBrkr,TA,Typ,Fa,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,BLQ,TA,Y,SBrkr,TA,Typ,Po,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,6,5
IR1,AllPub,Sev,TA,TA,TA,TA,Gd,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,P,NA,4,5
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,BLQ,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,Gd,Gd,Fa,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,Fa,TA,TA,Av,GLQ,Unf,Gd,N,SBrkr,TA,Typ,NA,NA,NA,NA,N,NA,6,8
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,Gd,TA,TA,No,LwQ,Unf,Ex,Y,SBrkr,TA,Typ,TA,NA,NA,NA,N,NA,5,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,TA,Typ,Fa,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,BLQ,TA,Y,FuseA,Ex,Typ,NA,RFn,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,7,6
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,5,6
IR1,AllPub,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,Y,SBrkr,TA,Min1,TA,RFn,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,Y,NA,7,6
IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,TA,Typ,Fa,RFn,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,Po,NA,NA,NA,Y,NA,4,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,Fa,TA,TA,No,Rec,Unf,Fa,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,4
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Maj1,NA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,Y,FuseA,TA,Typ,NA,Unf,Fa,TA,Y,NA,5,7
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,NA,NA,NA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,Y,FuseA,TA,Typ,NA,Unf,Fa,TA,Y,NA,5,4
Reg,AllPub,Gtl,TA,TA,TA,TA,Av,BLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,Gd,BLQ,ALQ,Gd,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,Y,FuseA,TA,Typ,NA,Unf,Fa,Fa,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,N,FuseF,TA,Typ,NA,NA,NA,NA,N,NA,6,5
Reg,AllPub,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,Y,FuseF,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,Gd,TA,Ex,TA,No,Unf,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,6
IR1,AllPub,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,9,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Mn,BLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,NA,NA,NA,Y,NA,4,6
Reg,AllPub,Gtl,TA,Gd,TA,TA,Mn,LwQ,Unf,Gd,Y,FuseA,Gd,Typ,NA,Unf,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,ALQ,Rec,Gd,Y,SBrkr,TA,Typ,NA,NA,NA,NA,Y,NA,5,7
IR1,AllPub,Gtl,Gd,TA,TA,TA,No,LwQ,BLQ,Ex,Y,FuseA,TA,Typ,Gd,Fin,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,8,5
