"","MSSubClass","LotFrontage","LotArea","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","MiscVal","YrSold","GarageAge","Age","RemodAge"
"37",60,70.0499583680267,8963,289,575,80,487,1142,1175,1540,0,2715,0,1,3,1,4,1,11,2,2,831,0,204,0,0,0,0,0,2008,14,32,12
"38",50,70,11767,0,352,0,416,768,768,432,0,1200,0,0,1,0,3,1,6,0,1,240,0,0,0,0,0,0,0,2008,62,62,13
"39",20,62,7500,0,0,0,1257,1257,1266,0,0,1266,0,0,2,0,3,1,6,1,2,453,38,144,0,0,0,0,0,2006,1,1,1
"40",20,65,25095,0,1324,0,113,1437,1473,0,0,1473,2,0,1,0,1,1,5,2,1,452,0,48,0,0,60,0,0,2009,41,41,6
"41",20,68,8814,180,1334,0,270,1604,1604,0,0,1604,1,0,2,1,3,1,8,1,2,660,123,110,0,0,0,0,0,2009,3,3,3
"42",50,60,10998,0,408,420,156,984,984,620,0,1604,0,0,2,0,3,1,6,0,2,660,0,68,0,0,0,0,0,2009,32,68,49
"43",20,70.0499583680267,6173,75,599,0,277,876,902,0,0,902,0,0,1,0,3,1,6,0,1,288,0,0,0,0,0,0,0,2007,40,40,40
"44",50,105,8470,0,0,0,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,0,0,0,0,156,0,0,0,0,2009,30.4938361131256,94,27
"45",20,70,11200,0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,2008,43,43,43
"46",60,90,11700,420,404,0,304,708,708,708,0,1416,0,0,2,1,3,1,7,1,2,776,0,169,0,0,119,0,0,2006,38,38,38
"47",20,60,8430,136,616,0,424,1040,1040,0,0,1040,0,0,2,0,3,1,5,0,0,0,0,0,0,0,0,0,0,2009,30.4938361131256,31,31
"48",190,76,7630,0,0,0,360,360,1032,780,0,1812,0,0,2,0,4,2,8,1,2,672,344,0,40,0,0,0,0,2010,11,110,14
"49",60,85,11075,0,500,276,176,952,1092,1020,0,2112,0,0,2,1,4,1,9,2,2,576,280,0,0,0,0,0,0,2008,39,39,39
"50",85,70.0499583680267,16647,0,1390,0,0,1390,1701,0,0,1701,1,0,2,0,3,1,6,2,2,611,0,0,0,0,0,0,0,2007,32,32,26
"51",20,60,8089,0,945,0,474,1419,1419,0,0,1419,1,0,2,0,2,1,7,1,2,567,140,0,0,0,0,0,0,2007,0,0,0
"52",20,60,7200,68,905,0,357,1262,1262,0,0,1262,0,0,2,0,2,1,5,0,2,572,0,120,0,0,0,0,0,2006,0,0,0
"53",80,75,9750,0,400,480,100,980,980,0,0,980,0,0,2,0,3,1,6,0,1,384,68,0,0,0,0,0,0,2006,39,39,39
"54",160,75,10762,0,0,0,626,626,626,591,0,1217,0,0,1,1,3,1,6,1,1,288,0,28,0,0,0,0,0,2009,29,29,29
"55",60,65,7153,0,387,0,374,761,810,793,0,1603,0,0,2,1,3,1,7,0,2,484,0,124,0,0,0,0,0,2006,14,14,14
"56",160,24,2160,212,510,0,90,600,624,628,0,1252,1,0,2,1,2,1,4,0,2,462,0,48,0,0,0,0,0,2008,9,9,8
"57",20,70.0499583680267,9477,65,340,0,524,864,892,0,0,892,0,0,1,0,3,1,5,0,1,264,0,0,0,0,0,0,0,2008,42,42,42
"58",160,44,5306,0,495,215,354,1064,1064,703,0,1767,1,0,2,0,2,1,5,1,2,504,441,35,0,0,0,0,0,2006,19,19,19
"59",30,70,4270,0,544,0,0,544,774,0,0,774,0,0,1,0,3,1,6,0,0,0,0,0,286,0,0,0,0,2007,28.4938361131256,76,1
"60",20,70.0499583680267,11120,0,660,0,572,1232,1232,0,0,1232,0,0,2,0,3,1,6,0,2,516,0,0,0,0,0,0,0,2008,24,24,24
"61",60,76,9291,120,426,0,406,832,832,878,0,1710,0,0,2,1,3,1,7,0,2,506,144,70,0,0,0,0,0,2008,15,15,15
"62",20,84,11670,302,0,0,1905,1905,1905,0,0,1905,0,0,2,0,3,1,8,1,3,788,0,191,0,0,0,0,0,2007,1,1,1
"63",120,41,5395,0,733,0,604,1337,1337,0,0,1337,1,0,2,0,2,1,5,1,2,462,96,0,70,168,0,0,0,2008,15,15,15
"64",20,70.0499583680267,9500,247,609,0,785,1394,1394,0,0,1394,1,0,1,1,3,1,6,2,2,514,0,76,0,0,185,0,0,2009,46,46,46
"65",120,70.0499583680267,4435,170,685,0,163,848,848,0,0,848,1,0,1,0,1,1,4,0,2,420,140,0,0,0,0,0,0,2009,6,6,6
"66",60,60,6931,92,0,0,746,746,760,896,0,1656,0,0,2,1,3,1,7,1,2,397,178,128,0,0,0,0,0,2008,5,5,4
"67",160,21,1680,158,330,0,153,483,483,504,0,987,1,0,1,1,2,1,5,0,1,264,0,0,0,0,0,0,0,2008,35,35,35
"68",50,57,7558,0,0,0,896,896,1172,741,0,1913,0,0,1,1,3,1,9,1,2,342,0,0,0,0,0,0,0,2009,80,81,59
"69",60,70.0499583680267,8880,0,695,0,253,948,1222,888,0,2110,1,0,2,1,3,1,8,2,2,463,0,130,0,0,0,0,0,2010,16,16,8
"70",70,60,6600,0,0,0,994,994,1378,994,0,2372,0,0,2,0,4,2,11,0,1,432,0,287,0,0,0,0,0,2009,24,117,44
"71",20,70.0499583680267,12735,0,600,0,264,864,864,0,0,864,0,0,1,0,3,1,5,0,2,576,216,0,0,0,0,0,0,2008,28,36,36
"72",20,71,8197,148,0,0,660,660,1285,0,0,1285,0,0,1,1,3,1,7,1,2,528,138,0,0,0,0,0,0,2007,30,30,30
"73",190,68,10880,0,1040,0,124,1164,1164,0,0,1164,1,0,1,0,3,1,5,0,1,240,0,48,0,0,0,0,0,2008,58,58,58
"74",60,77,9965,220,984,0,280,1264,1282,1414,0,2696,1,0,2,1,4,1,10,1,3,792,120,184,0,0,168,0,0,2007,0,0,0
"75",20,70.0499583680267,53227,0,1116,0,248,1364,1663,0,0,1663,1,0,1,0,2,1,6,2,2,529,224,137,0,0,0,0,0,2008,54,54,14
"76",30,59,8263,0,0,0,1012,1012,1012,0,0,1012,0,0,1,0,2,1,6,1,1,308,0,22,112,0,0,0,0,2007,87,87,57
"77",60,92,9920,0,862,0,255,1117,1127,886,0,2013,1,0,2,1,3,1,8,1,2,455,180,130,0,0,0,0,0,2007,10,11,10
"78",20,80,9250,0,480,468,108,1056,1056,0,0,1056,0,1,1,0,3,1,6,0,1,260,390,0,0,0,0,0,0,2007,53,53,2
"79",20,84,11096,0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,2007,1,1,1
"80",120,55,7892,0,0,0,918,918,918,0,0,918,0,0,2,0,2,1,5,1,1,264,28,0,0,0,0,0,0,2010,31,31,31
"81",120,32,4500,116,897,0,319,1216,1216,0,0,1216,1,0,2,0,2,1,5,0,2,402,0,125,0,0,0,0,0,2006,8,8,8
"82",90,95,11345,567,220,0,708,928,928,992,0,1920,0,0,2,0,4,2,10,0,2,400,0,0,0,0,0,0,0,2007,59,59,57
"83",60,75,9375,768,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2,648,140,45,0,0,0,0,0,2008,5,5,4
"84",20,70,9100,0,0,0,1212,1212,1212,0,0,1212,0,0,2,0,3,1,6,0,2,573,356,0,0,0,0,0,0,2009,8,8,8
"85",120,59,4282,0,16,0,1375,1391,1391,0,0,1391,0,0,2,0,2,1,5,0,2,530,156,158,0,0,0,0,0,2008,4,4,4
"86",60,75,8004,110,544,0,288,832,832,1103,0,1935,1,0,2,1,3,1,8,0,2,552,0,150,0,0,0,0,0,2009,0,0,0
"87",60,79,10208,921,0,0,1264,1264,1277,1067,0,2344,0,0,2,1,3,1,7,1,3,889,220,0,0,0,0,0,0,2009,13,13,12
"88",80,82,9020,183,312,539,276,1127,1165,0,0,1165,1,0,1,1,3,1,6,0,2,490,0,129,0,0,0,0,0,2008,42,42,42
"89",20,70,8294,0,0,0,858,858,872,0,0,872,0,0,1,0,3,1,5,0,4,480,0,0,0,0,0,0,0,2007,33,36,36
"90",60,71,7056,415,400,0,380,780,983,813,0,1796,1,0,1,1,4,1,8,1,2,483,0,50,0,0,0,0,0,2008,45,45,45
"91",60,65,15426,0,821,0,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,2,470,276,99,0,0,0,0,0,2009,12,12,12
"92",70,50,2500,0,299,0,611,910,916,910,0,1826,1,0,1,1,4,1,7,1,1,164,0,0,0,0,0,0,0,2009,94,94,4
"93",60,75,9317,137,513,0,227,740,1006,769,0,1775,1,0,2,1,3,1,7,1,2,425,234,72,192,0,0,0,0,2009,16,16,16
"94",120,44,4750,481,1573,0,0,1573,1625,0,0,1625,1,1,2,0,2,1,5,1,2,538,123,0,0,0,153,0,0,2007,1,1,0
"95",20,70,8176,0,846,0,210,1056,1056,0,0,1056,1,0,1,0,3,1,6,0,1,308,0,0,0,0,0,0,0,2007,49,49,15
"96",30,51,6120,0,0,0,264,264,800,0,0,800,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,2009,30.4938361131256,73,59
"97",20,79,9416,205,1126,0,600,1726,1726,0,0,1726,1,0,2,0,3,1,8,1,3,786,171,138,0,0,266,0,0,2007,0,0,0
"98",120,53,3684,130,0,0,1373,1373,1555,0,0,1555,0,0,2,0,2,1,7,1,3,660,143,20,0,0,0,0,0,2009,2,2,2
"99",20,60,10434,0,0,0,1005,1005,1005,0,0,1005,0,0,1,0,2,1,5,1,2,672,0,0,0,0,0,0,0,2009,32,54,54
"100",85,73,9069,0,747,0,189,936,996,0,0,996,1,0,1,0,2,1,5,0,2,564,120,0,0,0,0,0,0,2010,18,18,18
"101",70,121,17671,0,216,0,700,916,916,826,0,1742,0,0,1,1,4,1,8,1,2,424,0,169,0,0,0,0,0,2009,84,127,23
"102",60,70.0499583680267,10382,240,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,2,484,235,204,228,0,0,0,350,2009,36,36,36
"103",20,70,12702,0,0,0,0,0,882,0,0,882,0,0,1,0,2,1,4,0,1,308,0,45,0,0,0,0,0,2008,52,52,52
"104",30,67,8777,0,0,0,796,796,796,0,0,796,0,0,1,0,2,1,4,0,0,0,328,0,164,0,0,0,0,2008,29.4938361131256,98,58
"105",50,50,5500,0,234,692,0,926,926,0,390,1316,1,0,1,0,3,1,6,0,2,484,0,0,0,0,0,0,0,2010,36,81,9
"106",50,50,9000,0,0,0,780,780,780,595,0,1375,0,0,1,1,3,1,6,1,1,544,0,162,0,0,126,0,0,2007,28,70,57
"107",20,70,9100,0,338,466,121,925,925,0,0,925,0,1,1,0,2,1,5,0,1,429,0,0,0,0,0,0,0,2009,44,44,44
"108",20,70.0499583680267,12493,0,419,306,375,1100,1100,0,0,1100,1,0,1,0,3,1,6,1,1,312,355,0,0,0,0,0,0,2008,48,48,48
"109",20,80,8546,0,0,0,1121,1121,1121,0,0,1121,0,0,2,0,2,1,5,0,2,440,132,64,0,0,0,0,0,2010,7,7,6
"110",60,85,10625,0,0,0,1026,1026,1026,932,0,1958,0,0,2,1,3,1,9,1,3,936,154,210,0,0,0,0,0,2008,3,3,3
"111",20,80,9600,0,504,0,546,1050,1050,0,0,1050,0,0,1,0,2,1,5,0,1,338,0,0,0,0,0,0,0,2009,53,53,53
"112",20,70,8749,100,0,0,1459,1459,1459,0,0,1459,0,0,2,0,3,1,6,1,2,527,192,39,0,0,0,0,0,2007,5,5,5
"113",60,68,10769,0,20,0,846,866,866,902,0,1768,0,0,2,1,3,1,7,0,2,578,144,105,0,0,0,0,0,2009,2,2,2
"114",20,75,7500,0,340,906,0,1246,1246,0,0,1246,1,0,1,1,3,1,6,0,1,305,218,0,0,0,0,0,0,2010,51,51,16
"115",60,65,8125,100,812,0,280,1092,1112,438,0,1550,1,0,2,0,2,1,7,0,2,438,0,168,0,0,0,0,0,2009,2,3,2
"116",80,78,12090,74,0,0,585,585,1140,728,0,1868,0,0,3,1,3,1,7,1,2,477,268,112,0,0,147,0,0,2007,23,23,4
"117",60,160,15623,0,2096,0,300,2396,2411,2065,0,4476,1,0,3,1,4,1,10,2,3,813,171,78,0,0,0,555,0,2007,11,11,11
"118",160,36,2628,106,0,0,764,764,764,862,0,1626,0,0,2,1,2,1,6,0,2,474,0,27,0,0,0,0,0,2010,7,7,7
"119",20,60,6000,0,0,0,936,936,936,0,0,936,0,0,1,0,2,1,4,0,2,576,0,32,112,0,0,0,0,2009,35,56,56
"120",180,35,3675,80,547,0,0,547,1072,0,0,1072,1,0,1,0,2,1,5,0,2,525,0,28,0,0,0,0,0,2006,1,1,1
"121",85,90,10012,0,920,180,38,1138,1181,0,0,1181,1,0,2,0,3,1,6,0,2,588,0,0,180,0,0,0,0,2008,34,36,36
"122",160,36,2448,106,573,0,191,764,764,862,0,1626,1,0,2,1,2,1,6,0,2,474,0,27,0,0,0,0,0,2008,5,5,4
"123",20,61,9758,0,412,287,251,950,950,0,0,950,0,0,1,0,3,1,5,0,1,280,0,0,0,0,0,0,0,2007,26,36,36
"124",20,80,9200,0,892,0,244,1136,1136,0,0,1136,1,0,1,0,3,1,5,1,1,384,426,0,0,0,0,0,0,2008,43,43,43
"125",20,100,10175,272,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,2,576,0,0,0,407,0,0,0,2008,44,44,44
"126",50,53,5362,0,0,0,661,661,661,589,0,1250,0,0,2,0,3,1,8,1,2,552,242,0,81,0,0,0,0,2007,22,97,4
"127",20,80,8400,237,0,0,1319,1319,1537,0,0,1537,1,0,1,1,3,1,7,1,2,462,0,36,0,0,0,0,0,2008,46,46,3
"128",60,78,11700,0,298,0,429,727,829,727,0,1556,0,0,1,1,4,1,8,0,2,441,0,0,0,0,0,0,0,2009,41,41,41
"129",20,70,7931,0,1148,0,0,1148,1148,0,0,1148,1,0,1,0,3,1,6,0,1,672,0,0,0,0,0,0,0,2009,50,50,50
"130",30,52,5825,108,0,0,600,600,747,0,0,747,0,0,1,0,1,1,5,0,2,528,0,0,32,0,0,0,0,2006,53,80,53
"131",60,80,10480,660,403,0,400,803,1098,866,0,1964,0,0,2,1,4,1,8,1,2,483,0,69,0,0,0,0,0,2008,32,32,32
"132",50,60,6000,0,375,0,360,735,869,349,0,1218,0,1,1,0,3,1,6,1,2,440,0,0,0,0,0,0,0,2007,4,66,57
"133",160,24,2280,0,566,0,289,855,855,601,0,1456,0,0,2,1,3,1,7,1,2,440,87,0,0,0,0,0,0,2009,33,33,33
"134",70,60,7200,0,350,210,0,560,575,560,0,1135,1,0,1,0,3,1,6,0,2,576,256,0,0,0,0,0,0,2009,38,73,2
"135",160,34,3604,0,0,0,689,689,703,689,0,1392,0,0,2,0,2,1,5,0,2,540,0,102,0,0,0,0,0,2008,1,1,1
"136",160,24,2016,304,0,0,630,630,630,672,0,1302,0,0,2,1,3,1,6,0,2,440,0,0,0,0,0,0,0,2007,37,37,37
"137",30,60,5400,0,0,0,691,691,691,0,0,691,0,0,1,0,2,1,4,0,1,216,0,20,94,0,0,0,0,2007,87,87,57
"138",60,78,10140,0,194,0,638,832,832,832,0,1664,0,0,2,1,4,1,8,1,2,528,0,28,0,0,259,0,0,2006,30,30,30
"139",70,60,10800,0,0,0,718,718,1576,978,0,2554,0,0,1,1,3,1,8,0,2,704,0,48,143,0,0,0,0,2007,11,117,9
"140",20,70.0499583680267,9248,106,560,0,598,1158,1167,0,0,1167,1,0,2,0,3,1,6,0,2,400,120,26,0,0,0,0,0,2009,17,17,17
"141",60,92,11952,0,0,0,808,808,1161,808,0,1969,0,0,2,1,3,1,8,1,2,534,0,0,0,0,276,0,0,2007,30,30,30
"142",60,85,14191,0,0,0,967,967,993,915,0,1908,0,0,2,1,4,1,9,0,2,431,135,0,0,0,0,0,0,2010,8,8,8
"143",20,75,10125,0,641,279,276,1196,1279,0,0,1279,0,1,2,0,3,1,6,2,2,473,238,83,0,0,0,0,0,2008,28,31,31
"144",120,34,4060,0,266,0,1139,1405,1337,0,0,1337,1,0,2,0,2,1,5,0,2,511,144,68,0,0,0,0,0,2008,10,10,9
"145",20,70.0499583680267,10659,0,915,0,135,1050,1050,0,0,1050,1,0,1,0,3,1,6,0,1,368,0,319,0,0,0,0,0,2006,45,45,45
"146",20,70.0499583680267,12537,0,734,0,344,1078,1078,0,0,1078,1,0,1,1,3,1,6,1,2,500,0,0,0,0,0,0,0,2010,39,39,2
"147",30,50,8765,0,285,0,666,951,951,0,0,951,0,0,1,0,2,1,6,0,1,327,0,28,0,0,0,0,0,2006,70,70,56
"148",60,47,53504,603,1416,0,234,1650,1690,1589,0,3279,1,0,3,1,4,1,12,1,3,841,503,36,0,0,210,0,0,2010,7,7,7
"149",30,98,8731,0,645,0,270,915,1167,0,0,1167,0,0,1,0,3,1,6,1,2,495,0,0,216,0,126,0,0,2007,35,87,57
"150",60,70.0499583680267,14541,0,1012,0,326,1338,1352,1168,0,2520,1,0,2,1,5,1,10,1,3,796,209,55,0,0,0,0,0,2006,13,13,13
"151",120,70.0499583680267,6820,0,368,1120,0,1488,1502,0,0,1502,1,0,1,1,1,1,4,0,2,528,0,54,0,0,140,0,0,2010,25,25,25
"152",20,98,16033,378,1261,0,572,1833,1850,0,0,1850,1,0,2,0,3,1,8,1,3,772,519,112,0,0,0,0,0,2006,2,2,1
"153",180,21,1491,0,150,480,0,630,630,0,0,630,1,0,1,0,1,1,3,0,0,0,96,24,0,0,0,0,0,2010,31.4938361131256,38,38
"154",50,50,8405,0,0,0,0,0,1088,441,0,1529,0,0,2,0,4,1,9,0,1,240,92,0,185,0,0,0,0,2009,64,64,59
"155",70,51,9842,0,0,0,612,612,990,1611,0,2601,0,0,3,1,4,1,8,0,2,621,183,0,301,0,0,0,0,2008,10,87,10
"156",190,55,5687,0,210,0,570,780,936,780,0,1716,1,0,2,0,6,1,9,0,0,0,0,184,0,0,0,0,0,2008,29.4938361131256,96,8
"157",70,79,9480,224,386,0,342,728,888,756,0,1644,0,0,1,1,3,1,7,2,1,312,168,0,0,0,0,0,0,2007,65,65,12
"158",180,21,1526,0,515,0,115,630,630,0,0,630,1,0,1,0,1,1,3,0,1,286,0,0,0,0,0,0,0,2009,39,39,7
"159",20,70.0499583680267,13265,148,1218,0,350,1568,1689,0,0,1689,1,0,2,0,3,1,7,2,3,857,150,59,0,0,0,0,0,2008,6,6,6
"160",20,70,9100,244,1400,0,125,1525,1525,0,0,1525,1,0,2,0,3,1,6,0,2,541,219,36,0,0,0,0,0,2006,6,6,6
"161",60,88,12665,245,0,0,1094,1094,1133,1349,0,2482,0,0,2,1,4,1,9,1,3,642,144,39,0,0,0,0,0,2007,2,2,1
"162",60,86,10380,172,28,1474,0,1502,1553,1177,0,2730,1,0,2,1,4,1,8,1,2,576,201,96,0,0,0,0,0,2007,20,21,20
"163",50,51,6120,0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,468,90,0,205,0,0,0,0,2008,77,77,58
"164",20,60,6600,0,0,0,894,894,894,0,0,894,0,0,1,0,2,1,5,0,1,308,0,0,0,0,0,0,0,2009,47,47,47
"165",120,34,5063,166,904,0,410,1314,1314,0,0,1314,1,0,2,0,2,1,6,1,2,626,172,62,0,0,0,0,0,2009,1,2,1
"166",20,70.0499583680267,10530,0,282,35,664,981,981,0,0,981,1,0,1,1,3,1,5,0,2,576,0,312,40,0,0,0,0,2007,28,36,36
"167",90,80,11600,361,443,0,662,1105,1105,1169,0,2274,0,0,2,0,5,2,12,0,2,480,0,0,0,0,0,0,0,2010,50,50,50
"168",50,66,8712,0,0,0,859,859,859,319,0,1178,0,0,1,0,2,1,7,0,1,384,68,0,98,0,0,0,0,2010,46,110,60
"169",60,80,9760,360,674,106,0,780,798,813,0,1611,1,0,1,1,4,1,7,0,2,442,328,128,0,0,189,0,0,2008,44,44,44
"170",50,85,10678,337,700,0,983,1683,2129,743,0,2872,0,0,2,1,4,1,9,1,2,541,0,33,0,0,0,0,0,2007,15,15,7
"171",120,43,3182,14,16,0,1330,1346,1504,0,0,1504,0,0,2,0,2,1,7,1,2,437,156,20,0,0,0,0,0,2008,3,3,2
"172",90,72,10791,0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,2006,39,39,39
"173",60,70.0499583680267,11075,232,562,193,29,784,1168,800,0,1968,0,1,2,1,4,1,7,1,2,530,305,189,0,0,0,0,400,2008,39,39,39
"174",30,50,6000,0,250,0,710,960,960,0,0,960,0,0,1,0,2,1,5,0,1,308,0,0,168,0,0,0,0,2007,10,87,57
"175",50,130,9600,0,428,0,300,728,976,332,0,1308,1,0,1,1,2,1,7,2,1,256,0,70,0,0,0,0,0,2009,69,69,59
"176",60,56,20431,870,1410,0,438,1848,1848,880,0,2728,1,0,2,1,4,1,10,2,3,706,0,0,0,0,0,0,0,2006,0,1,0
"177",20,72,10665,167,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2,558,144,29,0,0,0,0,0,2007,4,4,4
"178",50,44,13758,117,902,0,254,1156,1187,530,0,1717,0,0,2,1,3,1,7,1,2,400,168,36,0,0,0,0,0,2007,17,17,16
"179",60,70.0499583680267,53107,0,985,0,595,1580,1079,874,0,1953,1,0,2,1,3,1,9,2,2,501,216,231,0,0,0,0,0,2007,15,15,15
"180",20,107,13891,436,1400,0,310,1710,1710,0,0,1710,1,0,2,0,2,1,6,1,3,866,0,102,0,0,0,0,0,2008,1,1,0
